Employee_Name,EmpID,MarriedID,GenderID,DeptID,New PayRate (hour),PositionID,State,DOB,DateofHire,DateofTermination,TermReason,EmploymentStatus,ManagerID,RecruitmentSource,PerformanceScore,EmpSatisfaction,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,PerformanceScore_Norm,PerformanceScore_Scaled,EmpSatisfaction_Scaled,Tenure,Age,AgeGroup
" Downs, Evangeline     ",9095762712,1,0,5,34.8,20,MA,1964-10-12,2010-04-26,2011-05-30,career change,Voluntarily Terminated,12,MBTA ads,Poor,3,5210,4443,18208,1471,18170,19764,14862,11318,19910,15211,18164,6839,1,0.0,0.5,1.093150684931507,59,50-59
" Ali, Kaley     ",9013922711,0,0,5,34.8,20,MA,1981-08-31,2011-05-16,2013-07-01,unhappy,Voluntarily Terminated,12,MBTA ads,Poor,3,2243,3355,19667,17884,10657,2392,13212,2720,3452,7194,8211,17735,1,0.0,0.5,2.128767123287671,43,40-49
" Bernard, Madeline     ",9001682710,0,1,5,29.0,20,MA,1985-03-15,2011-10-01,2012-02-07,unhappy,Voluntarily Terminated,12,MBTA ads,Poor,3,5602,12095,8208,12319,3012,18920,15926,5824,13186,7709,8311,13482,1,0.0,0.5,0.35342465753424657,39,30-39
" Bridges, Lamont     ",9079892709,1,1,5,29.0,20,MA,1989-07-18,2011-05-07,2011-09-15,unhappy,Voluntarily Terminated,11,Word of Mouth,Exceeds,3,10268,13562,13372,7397,19239,9684,16388,3032,18400,10749,18719,18158,4,1.0,0.5,0.3589041095890411,35,30-39
" Richard, Gretchen     ",9043742708,1,1,5,29.0,20,MA,1986-12-10,2011-05-07,2011-08-19,Another position,Voluntarily Terminated,11,Word of Mouth,Exceeds,3,16696,13724,1078,17408,15112,3204,6806,13508,15779,15533,10568,15903,4,1.0,0.5,0.28493150684931506,37,30-39
" Hart, Axel     ",9061292707,1,1,5,23.0,20,MA,1976-09-22,2011-02-21,2013-01-04,unhappy,Voluntarily Terminated,11,Word of Mouth,Fully Meets,4,11301,1653,11748,4093,5158,15291,4093,7679,7775,16189,13937,1788,3,0.6666666666666666,0.75,1.8712328767123287,48,40-49
" Escobar, Emma     ",9072502706,1,0,5,27.599999999999998,20,MA,1981-10-01,2011-05-16,2013-06-24,hours,Voluntarily Terminated,11,Vendor Referral,Fully Meets,4,4712,16471,19503,8369,15999,18540,14592,3079,12737,5120,18820,16020,3,0.6666666666666666,0.75,2.1095890410958904,42,40-49
" Craig, Maximilian     ",9078662705,1,0,5,34.8,20,MA,1980-03-02,2012-05-03,2014-05-17,retiring,Voluntarily Terminated,11,Search Engine - Google Bing Yahoo,Fully Meets,4,10562,9095,16942,13825,4314,4960,2042,10354,17720,12860,10406,16587,3,0.6666666666666666,0.75,2.0383561643835617,44,40-49
" Padilla, Erik     ",9093812704,1,0,5,34.8,19,MA,1987-05-24,2011-10-01,2011-05-15,hours,Voluntarily Terminated,11,Search Engine - Google Bing Yahoo,Fully Meets,4,7321,12099,7187,18036,15846,1189,4996,5218,17972,7712,4020,19184,3,0.6666666666666666,0.75,-0.38082191780821917,37,30-39
" Duffy, Gilbert     ",9072522703,0,0,5,34.8,19,MA,1975-04-03,2009-04-27,2013-01-04,Another position,Voluntarily Terminated,11,Search Engine - Google Bing Yahoo,Fully Meets,4,8534,4264,19838,14454,12934,5556,10359,10037,2757,13906,6150,17662,3,0.6666666666666666,0.75,3.6931506849315068,49,40-49
" Chambers, Gordon     ",9078452702,0,0,5,30.0,19,MA,1975-03-10,2013-09-30,2015-12-09,career change,Voluntarily Terminated,39,Employee Referral,Fully Meets,4,16505,17358,4933,16835,1088,4255,15053,8679,3300,4822,2489,6673,3,0.6666666666666666,0.75,2.191780821917808,49,40-49
" Holder, Jagger     ",9009482701,0,0,5,18.0,19,MA,1973-01-12,2011-11-28,2014-11-01,Another position,Voluntarily Terminated,39,Newspager/Magazine,Fully Meets,5,11196,12204,11490,2671,4599,7673,7284,11144,8042,11374,13561,6712,3,0.6666666666666666,1.0,2.9287671232876713,51,50-59
" Walton, Antonio     ",9091032700,1,0,5,18.0,19,MA,1988-03-17,2011-10-01,2012-12-28,career change,Voluntarily Terminated,39,Newspager/Magazine,Fully Meets,5,17172,18778,7248,5512,5974,2505,7932,13528,18905,7271,18264,14904,3,0.6666666666666666,1.0,1.2438356164383562,36,30-39
" Pace, Isai     ",9058612699,1,0,5,28.799999999999997,19,MA,1989-05-02,2011-09-26,2014-04-04,return to school,Voluntarily Terminated,39,Search Engine - Google Bing Yahoo,Fully Meets,5,12353,7219,9881,1829,1232,9104,13224,10124,9887,18893,5580,16386,3,0.6666666666666666,1.0,2.5232876712328767,35,30-39
" Flynn, Yusuf     ",9074252698,1,1,5,24.0,19,MA,1973-02-14,2011-07-11,,N/A - still employed,Active,39,Search Engine - Google Bing Yahoo,Needs Improvement,5,1768,4630,8472,8615,11546,15807,5925,1947,18280,12998,6234,6230,2,0.3333333333333333,1.0,13.183561643835617,51,50-59
" Ayala, Zion     ",9060152697,0,1,5,18.0,19,MA,1973-12-08,2011-09-26,,N/A - still employed,Active,39,Diversity Job Fair,Fully Meets,5,13255,15302,5150,15230,14403,17010,3047,14290,10326,10696,14977,16934,3,0.6666666666666666,1.0,12.972602739726028,50,50-59
" Cherry, Connor     ",9000622696,0,1,5,18.0,19,MA,1952-08-18,2012-09-01,,N/A - still employed,Active,39,Diversity Job Fair,Exceeds,5,18226,10826,7525,11412,16106,4872,9836,7477,11928,3676,15382,2397,4,1.0,1.0,12.038356164383561,72,
" Mercer, Keshawn     ",9070012695,0,0,5,23.7,19,MA,1974-08-09,2012-02-04,2015-06-25,military,Voluntarily Terminated,39,Diversity Job Fair,Exceeds,4,9926,6999,17419,17028,5284,6258,5986,15251,7863,12333,13673,18885,4,1.0,0.75,3.389041095890411,50,50-59
" Mcbride, Lyla     ",9024532694,1,0,5,23.7,19,MA,1955-04-14,2011-07-11,2014-05-17,military,Voluntarily Terminated,39,Search Engine - Google Bing Yahoo,Exceeds,4,2651,16507,16408,15761,12235,16747,2887,17276,9748,15172,10028,9545,4,1.0,0.75,2.852054794520548,69,60-69
" Higgins, Reyna     ",9036572693,1,0,5,24.0,19,MA,1977-10-31,2011-05-16,2015-08-06,unhappy,Voluntarily Terminated,39,Search Engine - Google Bing Yahoo,Exceeds,4,9838,8550,3374,1441,16912,6365,2943,8641,13761,14234,10173,5764,4,1.0,0.75,4.227397260273973,46,40-49
" Rodgers, Jacey     ",9023912692,1,0,5,28.2,19,MA,1983-08-24,2013-08-07,2016-02-21,military,Voluntarily Terminated,39,Search Engine - Google Bing Yahoo,Exceeds,4,9459,11145,18252,14598,1090,5770,17626,12050,11541,17483,3462,11709,4,1.0,0.75,2.5424657534246577,41,40-49
" Calhoun, Nevaeh     ",9069292691,1,0,5,28.2,19,MA,1979-04-06,2013-08-07,2013-08-19,relocation out of area,Voluntarily Terminated,39,Search Engine - Google Bing Yahoo,Fully Meets,4,1892,19509,18354,11515,3343,10198,16903,19846,10631,1592,17304,7621,3,0.6666666666666666,0.75,0.03287671232876712,45,40-49
" Mccarthy, Esperanza     ",9093032690,0,1,5,22.0,19,MA,1989-09-08,2011-11-07,2011-06-09,return to school,Voluntarily Terminated,39,Search Engine - Google Bing Yahoo,Fully Meets,4,7034,13903,18451,12003,14958,2885,9587,6430,15236,2056,19610,19062,3,0.6666666666666666,0.75,-0.4136986301369863,35,30-39
" Anderson, Yesenia     ",9048252689,0,1,5,22.0,19,MA,1985-04-06,2015-05-07,2016-01-04,more money,Voluntarily Terminated,39,Billboard,Fully Meets,4,18546,7840,1726,4592,9093,8445,11547,17102,18521,13677,2253,9582,3,0.6666666666666666,0.75,0.663013698630137,39,30-39
" Hinton, Charlee     ",9085302688,0,1,5,22.0,19,MA,1982-10-07,2015-05-01,2015-09-29,Another position,Voluntarily Terminated,39,Billboard,Fully Meets,4,8773,12568,10960,5785,9798,14911,5660,18151,11680,9796,11959,6350,3,0.6666666666666666,0.75,0.4136986301369863,41,40-49
" Dennis, Demarion     ",9085272687,0,1,5,22.0,19,MA,1974-12-21,2009-05-01,2010-07-30,relocation out of area,Voluntarily Terminated,0,Newspager/Magazine,Fully Meets,3,3585,2943,7117,4542,17248,1763,3440,2999,10179,1280,12211,16270,3,0.6666666666666666,0.5,1.2465753424657535,49,40-49
" Walter, Shamar     ",9083102686,0,1,5,21.0,19,MA,1984-12-31,2011-09-26,2012-07-04,more money,Voluntarily Terminated,0,Newspager/Magazine,Fully Meets,3,13898,8591,6216,3423,14210,12378,9364,14700,4005,18797,2734,18882,3,0.6666666666666666,0.5,0.7726027397260274,39,30-39
" Pitts, Emerson     ",9083602685,0,1,5,21.0,19,MA,1979-11-24,2014-02-17,2015-06-25,unhappy,Voluntarily Terminated,22,Newspager/Magazine,Fully Meets,5,2096,11780,6834,14532,6954,3672,3150,19310,17652,19070,10912,16860,3,0.6666666666666666,1.0,1.3506849315068492,44,40-49
" Winters, Clarissa     ",9081402684,0,1,5,20.0,19,MA,1976-09-22,2015-03-30,2015-10-31,return to school,Voluntarily Terminated,22,Word of Mouth,Fully Meets,5,4029,12645,5213,6134,12485,5768,10426,1883,6817,7733,14234,12684,3,0.6666666666666666,1.0,0.589041095890411,48,40-49
" Atkins, Frankie     ",9070652683,0,1,5,20.0,19,MA,1981-03-26,2011-05-07,,N/A - still employed,Active,22,Word of Mouth,Fully Meets,5,11269,11297,5114,5182,13331,7514,14752,2730,14866,19578,2422,5781,3,0.6666666666666666,1.0,13.361643835616439,43,40-49
" Zhang, Ally     ",9045322682,0,1,5,20.0,19,MA,1976-01-19,2013-09-30,,N/A - still employed,Active,22,Monster.com,Fully Meets,5,4584,4785,5249,3395,13616,17539,5206,7355,4204,18897,15655,5053,3,0.6666666666666666,1.0,10.95890410958904,48,40-49
" Harmon, Kayleigh     ",9086622681,1,0,5,20.4,19,MA,1959-08-19,2011-07-11,,N/A - still employed,Active,22,Monster.com,Fully Meets,5,8303,13023,6865,12781,13672,13056,16870,13870,16580,3290,2194,5458,3,0.6666666666666666,1.0,13.183561643835617,65,60-69
" Myers, Kayley     ",9057172680,1,0,5,20.4,19,MA,1977-03-23,2011-11-28,,N/A - still employed,Active,22,Monster.com,Fully Meets,4,6237,4191,14128,10623,4975,16176,15878,9424,8895,7741,2614,17091,3,0.6666666666666666,0.75,12.8,47,40-49
" Cobb, Rowan     ",9013082679,1,0,5,20.4,19,MA,1990-10-01,2015-03-30,,N/A - still employed,Active,22,Internet Search,Fully Meets,4,6881,1721,13090,6624,1107,19953,13909,9954,11365,12958,4821,12924,3,0.6666666666666666,0.75,9.463013698630137,33,30-39
" Mann, Edward     ",9025422678,1,1,5,19.0,19,MA,1983-09-02,2012-02-04,,N/A - still employed,Active,22,Internet Search,Fully Meets,4,9570,13914,6371,10597,18578,12098,12196,8398,8551,13036,1252,2874,3,0.6666666666666666,0.75,12.613698630136986,41,40-49
" Johnson, Amirah     ",9055192677,1,1,5,19.0,19,MA,1987-04-10,2016-06-07,,N/A - Has not started yet,Active,22,Word of Mouth,Fully Meets,4,1770,10314,1068,3368,5246,9452,16675,7851,6214,14711,16014,19402,3,0.6666666666666666,0.75,8.271232876712329,37,30-39
" Deleon, Bridget     ",9021542676,1,1,5,19.0,19,MA,1951-01-02,2014-09-29,,N/A - still employed,Active,22,Word of Mouth,Fully Meets,4,7192,13736,13177,13916,5023,4016,19790,19355,14968,16719,14195,18975,3,0.6666666666666666,0.75,9.961643835616439,73,
" Weber, Martin     ",9095562675,0,1,5,19.0,19,MA,1977-07-15,2012-09-24,,N/A - still employed,Future Start,22,Search Engine - Google Bing Yahoo,Fully Meets,4,15239,13704,11721,8887,15446,7605,13122,18081,6928,15252,9273,13758,3,0.6666666666666666,0.75,11.975342465753425,47,40-49
" Lewis, Ruben     ",9057562674,0,0,5,21.599999999999998,19,MA,1983-07-10,2011-05-07,,N/A - still employed,Future Start,22,Search Engine - Google Bing Yahoo,Fully Meets,4,6925,4044,15069,6380,2062,19897,6661,15319,18146,12070,18308,14989,3,0.6666666666666666,0.75,13.361643835616439,41,40-49
" Collier, Bailey     ",9025802673,0,0,5,21.599999999999998,19,MA,1987-01-31,2012-08-13,,N/A - still employed,Future Start,22,Search Engine - Google Bing Yahoo,Fully Meets,5,3399,17347,19046,10721,1157,4855,2776,15377,18434,16302,15841,8654,3,0.6666666666666666,1.0,12.09041095890411,37,30-39
" Roth, Charlee     ",9095132672,0,1,5,18.0,19,MA,1982-08-25,2011-10-01,,N/A - still employed,Future Start,22,Search Engine - Google Bing Yahoo,Fully Meets,5,13341,3376,16593,9137,15588,4957,15595,13470,5432,3262,2919,9740,3,0.6666666666666666,1.0,12.95890410958904,42,40-49
" Bowers, Karissa     ",9001472671,0,1,5,18.0,19,MA,1987-03-18,2011-04-04,,N/A - still employed,Active,22,Search Engine - Google Bing Yahoo,Fully Meets,5,16714,15872,8693,4666,9798,18717,19342,3149,3475,5009,6303,5891,3,0.6666666666666666,1.0,13.452054794520548,37,30-39
" Ramirez, Noel     ",9045152670,0,1,5,18.0,19,MA,1970-09-22,2012-09-24,,N/A - still employed,Active,22,Search Engine - Google Bing Yahoo,Fully Meets,5,10945,13347,13207,12185,16397,7914,2716,17484,19952,16210,4803,5537,3,0.6666666666666666,1.0,11.975342465753425,54,50-59
" Franco, Victoria     ",9094642669,0,1,5,16.0,19,MA,1984-10-15,2011-05-16,,N/A - still employed,Active,22,Information Session,Exceeds,5,13471,5353,6132,6105,9348,5539,10430,10140,1970,10057,1230,8215,4,1.0,1.0,13.336986301369864,39,30-39
" Fischer, Alma     ",9098682668,0,1,5,16.0,19,MA,1980-09-30,2014-03-31,2016-01-05,performance,Voluntarily Terminated,20,Billboard,Exceeds,4,13142,12192,11194,11120,12869,16506,18582,12648,12246,12534,11344,12686,4,1.0,0.75,1.7671232876712328,43,40-49
" Peterson, Harley     ",9017602667,0,1,5,19.0,19,MA,1987-01-07,2013-07-01,2014-09-27,hours,Terminated for Cause,20,Social Networks - Facebook Twitter etc,Poor,4,12779,8358,4084,2879,18139,17975,15849,8016,10695,1873,19696,16315,1,0.0,0.75,1.2410958904109588,37,30-39
" Stokes, Kade     ",9064502666,0,0,5,22.2,19,MA,1979-01-17,2011-09-26,2013-08-19,return to school,Terminated for Cause,20,Social Networks - Facebook Twitter etc,Poor,4,18949,17270,14046,8827,12578,8502,6300,1288,4800,14370,13221,3962,1,0.0,0.75,1.8986301369863015,45,40-49
" Tanner, Leonel     ",9005222665,0,0,5,22.2,19,MA,1966-03-22,2013-09-30,2015-08-15,hours,Terminated for Cause,20,Social Networks - Facebook Twitter etc,Poor,4,16059,3808,5683,14497,1704,14511,10234,2651,18031,5330,19555,17271,1,0.0,0.75,1.873972602739726,58,50-59
" Burns, Natalia     ",9012392664,0,0,5,22.2,19,MA,1974-10-09,2013-08-19,2014-11-01,relocation out of area,Terminated for Cause,20,Monster.com,Fully Meets,4,19918,4907,5427,3743,16425,16948,9017,16158,11226,5579,17580,5418,3,0.6666666666666666,0.75,1.2027397260273973,49,40-49
" Raymond, Hailee     ",9025732663,0,0,5,22.2,19,MA,1980-04-18,2013-08-07,,N/A - still employed,Active,20,Monster.com,Fully Meets,3,9700,17293,2047,9548,13840,4732,16766,1050,19983,18456,13436,15560,3,0.6666666666666666,0.5,11.106849315068493,44,40-49
" Douglas, Micah     ",9072042662,0,0,5,22.2,19,MA,1991-09-05,2011-04-04,,N/A - still employed,Active,20,On-campus Recruiting,Fully Meets,4,13473,3801,11024,4003,7005,14345,10697,1263,15432,16141,1906,12367,3,0.6666666666666666,0.75,13.452054794520548,33,30-39
" Pollard, Kaley     ",9052892661,0,1,5,24.0,19,MA,1979-08-12,2011-11-07,,performance,Leave of Absence,20,On-campus Recruiting,Fully Meets,3,18821,11212,14280,8476,2234,13684,2357,11448,10792,10685,2123,6150,3,0.6666666666666666,0.5,12.857534246575343,45,40-49
" Fletcher, Seth     ",9065432660,0,1,5,24.0,19,MA,1969-10-30,2013-11-11,2015-07-09,maternity leave - did not return,Voluntarily Terminated,20,On-campus Recruiting,Fully Meets,3,6435,15059,17459,5885,1023,10519,12069,17116,2796,8191,6046,6866,3,0.6666666666666666,0.5,1.6575342465753424,54,50-59
" Thomas, Elliana     ",9078332659,1,1,5,20.0,19,MA,1974-02-21,2012-02-04,2012-09-19,unhappy,Voluntarily Terminated,20,On-campus Recruiting,Fully Meets,3,18617,17558,13227,5265,11760,10604,12812,7411,5691,4347,11555,13095,3,0.6666666666666666,0.5,0.6246575342465753,50,50-59
" Chung, Edward     ",9085682658,0,0,5,24.0,19,MA,1969-10-02,2012-09-01,,relocation out of area,Leave of Absence,20,On-campus Recruiting,Fully Meets,3,11382,1433,8223,14261,14747,1743,11077,7648,19412,7579,14869,5868,3,0.6666666666666666,0.5,12.038356164383561,54,50-59
" Estes, Tessa     ",9069032657,0,0,5,26.4,19,MA,1983-07-30,2011-10-01,,N/A - still employed,Leave of Absence,20,Diversity Job Fair,Fully Meets,3,17270,11418,2149,14471,8800,2712,4638,14275,14963,10494,8941,9560,3,0.6666666666666666,0.5,12.95890410958904,41,40-49
" Carson, Charlie     ",9015002656,0,1,5,22.0,19,MA,1965-02-02,2013-11-11,,N/A - still employed,Leave of Absence,20,Diversity Job Fair,Fully Meets,3,19929,15021,3349,14834,18827,6373,14522,16531,15810,15519,7957,5848,3,0.6666666666666666,0.5,10.843835616438357,59,50-59
" Zuniga, Lawson     ",9056292655,0,1,5,22.0,19,MA,1985-01-07,2011-10-01,,attendance,Leave of Absence,20,Diversity Job Fair,Fully Meets,3,6160,2052,16822,10682,3251,14944,1066,4896,1025,6912,12779,7770,3,0.6666666666666666,0.5,12.95890410958904,39,30-39
" Huffman, Coleman     ",9080672654,0,1,5,16.0,19,MA,1973-09-23,2010-04-26,,N/A - still employed,Active,20,Diversity Job Fair,Fully Meets,3,1523,4649,2421,7500,17905,12970,4637,3094,18855,6081,19860,16314,3,0.6666666666666666,0.5,14.391780821917807,51,50-59
" Kelly, Aracely     ",9085282653,0,1,5,16.0,19,MA,1977-04-08,2014-12-05,,N/A - still employed,Active,19,Social Networks - Facebook Twitter etc,Fully Meets,3,2774,2287,15231,17675,9595,9492,16720,3730,14255,16530,5301,9672,3,0.6666666666666666,0.5,9.778082191780822,47,40-49
" Velazquez, Morgan     ",9085712652,1,1,5,16.0,19,MA,1986-07-07,2014-06-01,,N/A - still employed,Leave of Absence,19,Employee Referral,Needs Improvement,3,15122,18638,13946,8826,2817,3430,11617,9042,5701,14337,12528,4942,2,0.3333333333333333,0.5,10.29041095890411,38,30-39
" Becker, Isla     ",9093512651,1,0,5,19.2,19,MA,1977-11-10,2014-02-17,,N/A - still employed,Leave of Absence,19,Search Engine - Google Bing Yahoo,Needs Improvement,3,8482,6539,11938,7496,2658,5406,4868,1507,14294,9810,7156,10838,2,0.3333333333333333,0.5,10.575342465753424,46,40-49
" Sanford, Scott     ",9031482650,0,0,5,19.2,19,MA,1984-01-04,2012-08-13,,N/A - still employed,Leave of Absence,19,On-campus Recruiting,Needs Improvement,4,7616,6147,13075,19617,13004,2710,10966,3250,4319,2600,13860,8215,2,0.3333333333333333,0.75,12.09041095890411,40,40-49
" Ritter, Deja     ",9096502649,0,0,5,19.2,19,MA,1992-06-18,2013-11-11,,N/A - still employed,Active,19,On-campus Recruiting,Fully Meets,4,15205,8584,10265,14208,2331,3755,1675,11535,11326,2895,16428,17776,3,0.6666666666666666,0.75,10.843835616438357,32,30-39
" Gamble, Amelia     ",9038172648,0,1,5,23.0,19,MA,1986-06-10,2012-02-20,,N/A - still employed,Active,19,On-campus Recruiting,Fully Meets,4,13086,18923,19178,7255,16715,9103,11552,10664,6747,12207,12644,9072,3,0.6666666666666666,0.75,12.56986301369863,38,30-39
" Middleton, Pranav     ",9027862647,0,1,5,23.0,19,MA,1982-11-15,2014-12-05,,N/A - still employed,Active,19,On-campus Recruiting,Fully Meets,4,9640,15418,6435,3435,10397,4667,10949,16922,16710,2566,7663,6035,3,0.6666666666666666,0.75,9.778082191780822,41,40-49
" Hunter, Moshe     ",9072872646,0,1,5,23.0,19,MA,1988-05-31,2011-03-10,,N/A - still employed,Active,19,Glassdoor,Fully Meets,4,13537,13829,11529,13280,12489,8902,19700,2940,2400,16188,10029,18264,3,0.6666666666666666,0.75,13.520547945205479,36,30-39
" Gibson, Arjun     ",9075252645,0,0,5,25.2,19,MA,1958-12-27,2013-08-19,,N/A - still employed,Active,19,Glassdoor,Fully Meets,4,7320,2922,3625,4641,11199,17413,15167,5023,17826,11713,7277,7788,3,0.6666666666666666,0.75,11.073972602739726,65,60-69
" Jenkins, Alaina     ",9047812644,0,0,5,26.4,19,MA,1983-02-18,2013-09-30,,N/A - still employed,Active,19,Billboard,Fully Meets,4,12613,9044,5087,13252,4928,7900,9795,7121,15335,10529,10773,10980,3,0.6666666666666666,0.75,10.95890410958904,41,40-49
" Morrow, Elyse     ",9022062643,0,0,5,26.4,19,MA,1986-06-03,2011-09-26,,N/A - still employed,Active,19,Billboard,Fully Meets,4,7447,7689,15731,8912,4277,15505,10555,1575,9529,8417,9059,7354,3,0.6666666666666666,0.75,12.972602739726028,38,30-39
" Brady, Lincoln     ",9088652642,0,1,5,22.0,19,MA,1985-03-14,2014-02-17,,N/A - still employed,Active,19,Billboard,Fully Meets,4,9375,17879,5433,13241,6787,10949,14851,14227,15900,6675,12034,7629,3,0.6666666666666666,0.75,10.575342465753424,39,30-39
" Braun, Allisson     ",9081042641,0,1,5,22.0,19,MA,1968-06-06,2016-04-07,,N/A - Has not started yet,Active,19,Billboard,Fully Meets,4,7261,3485,4292,18038,4566,2885,4099,8985,12161,4608,13420,9619,3,0.6666666666666666,0.75,8.438356164383562,56,50-59
" Chang, Leonel     ",9017392640,0,1,5,20.0,19,MA,1961-06-19,2014-06-01,,N/A - still employed,Active,19,Billboard,Fully Meets,4,6697,16216,13740,5810,8933,13541,18038,2326,18016,3029,12911,2896,3,0.6666666666666666,0.75,10.29041095890411,63,60-69
" Wyatt, Isabel     ",9026572639,0,1,5,20.0,19,MA,1976-12-11,2013-09-30,,N/A - still employed,Active,18,Employee Referral,Fully Meets,4,1505,14474,3272,10527,13860,8696,1346,3252,14577,7080,6924,14227,3,0.6666666666666666,0.75,10.95890410958904,47,40-49
" Henry, Angelo     ",9068222638,0,1,5,20.0,19,MA,1968-05-30,2012-02-04,,N/A - still employed,Active,18,Employee Referral,Fully Meets,4,19002,2680,17416,8162,14926,14693,19216,11165,7652,12612,10872,12816,3,0.6666666666666666,0.75,12.613698630136986,56,50-59
" Moss, Joselyn     ",9006262637,1,1,5,20.0,19,MA,1981-10-18,2011-02-21,,N/A - still employed,Active,18,Diversity Job Fair,Fully Meets,3,9207,8087,14331,13880,16490,2327,14702,5231,9952,8632,19756,18823,3,0.6666666666666666,0.5,13.567123287671233,42,40-49
" Mcclain, Diamond     ",9095922636,1,1,5,16.0,19,MA,1964-04-13,2014-06-01,2014-05-17,performance,Terminated for Cause,18,On-campus Recruiting,Fully Meets,5,17105,2729,15771,2140,18361,17539,13076,8304,17125,15327,6477,10530,3,0.6666666666666666,1.0,-0.0410958904109589,60,60-69
" Dalton, Eden     ",9037262635,1,1,5,16.0,19,MA,1983-05-21,2011-02-21,2014-11-01,more money,Terminated for Cause,18,On-campus Recruiting,Fully Meets,5,7365,12528,12454,14892,3091,8675,8078,17374,3345,2330,4195,6864,3,0.6666666666666666,1.0,3.695890410958904,41,40-49
" Parks, Emely     ",9077742634,1,1,5,14.0,19,MA,1983-12-02,2011-05-16,,N/A - still employed,Active,18,On-campus Recruiting,Fully Meets,5,3936,17942,19995,10602,6649,11208,9238,4273,13229,7119,8377,17402,3,0.6666666666666666,1.0,13.336986301369864,40,40-49
" Hopkins, Corinne     ",9090372633,1,0,5,28.799999999999997,19,MA,1978-08-25,2014-03-31,,N/A - still employed,Active,18,On-campus Recruiting,Fully Meets,5,6784,11933,18561,1851,16745,11563,7907,1078,3801,13032,1552,8325,3,0.6666666666666666,1.0,10.46027397260274,46,40-49
" Blake, Destiny     ",9061482632,0,0,5,25.5,19,MA,1974-05-31,2014-10-11,,N/A - still employed,Active,18,Monster.com,Fully Meets,5,10594,12615,10775,16589,11280,8142,8136,5853,3070,7865,11790,5351,3,0.6666666666666666,1.0,9.92876712328767,50,50-59
" Kidd, Zaria     ",9046392631,0,1,5,21.25,19,MA,1977-03-31,2015-05-01,,N/A - still employed,Active,18,Monster.com,Fully Meets,5,5040,5623,5432,17920,12104,6352,2729,11456,11334,15290,9752,19123,3,0.6666666666666666,1.0,9.375342465753425,47,40-49
" Ingram, Adam     ",9020332630,0,1,5,20.0,19,MA,1983-02-02,2014-03-31,,N/A - still employed,Active,18,Billboard,Fully Meets,5,6281,8450,18482,17914,2936,13746,11145,10413,8020,13185,7597,6309,3,0.6666666666666666,1.0,10.46027397260274,41,40-49
" Foster, Makenna     ",9065352629,0,1,5,20.0,19,MA,1983-07-20,2012-02-20,,N/A - still employed,Active,18,Billboard,Fully Meets,3,16080,17710,7611,3113,10775,17173,5143,7285,14059,17849,11011,1975,3,0.6666666666666666,0.5,12.56986301369863,41,40-49
" Keith, Nayeli     ",9085952628,0,1,5,20.0,19,MA,1980-08-02,2012-08-13,,N/A - still employed,Active,18,Billboard,Fully Meets,3,3804,1805,12700,5628,7885,3713,9999,15292,3877,13839,16016,5728,3,0.6666666666666666,0.5,12.09041095890411,44,40-49
" Shannon, Devon     ",9098472627,0,1,5,20.0,19,MA,1968-08-15,2012-05-14,,N/A - still employed,Active,18,Billboard,Fully Meets,3,3011,13968,17318,5009,11220,8245,4261,11644,15651,13578,4367,12487,3,0.6666666666666666,0.5,12.33972602739726,56,50-59
" Harrington, Lucy     ",9016142626,0,0,5,24.0,19,MA,1988-07-10,2014-09-29,2016-01-05,Another position,Voluntarily Terminated,18,Glassdoor,Fully Meets,3,8092,9551,17919,11341,11947,7339,9021,11332,17315,6052,14547,18394,3,0.6666666666666666,0.5,1.2684931506849315,36,30-39
" Francis, Rebecca     ",9073752625,0,0,5,18.0,19,MA,1982-07-22,2011-05-16,2016-01-15,retiring,Voluntarily Terminated,18,Glassdoor,Fully Meets,3,5117,5352,15380,19949,16185,11427,13323,4187,15656,4946,3999,9691,3,0.6666666666666666,0.5,4.671232876712328,42,40-49
" Jackson, Jocelyn     ",9001862624,0,0,5,18.0,19,MA,1979-05-01,2011-07-02,,N/A - still employed,Active,16,Glassdoor,Fully Meets,3,17002,3389,1226,10412,16575,7454,4610,17235,3127,12469,13615,2763,3,0.6666666666666666,0.5,13.208219178082192,45,40-49
" Newman, Gilbert     ",9062412623,1,0,5,18.0,19,MA,1984-07-07,2013-01-04,2014-07-08,retiring,Voluntarily Terminated,16,Glassdoor,Fully Meets,5,19427,8415,4294,12652,19159,3447,10163,19604,2294,4107,1298,9538,3,0.6666666666666666,1.0,1.5068493150684932,40,40-49
" Rosales, Roberto     ",9079452622,1,0,5,18.0,19,MA,1975-10-22,2015-02-16,2016-01-26,career change,Voluntarily Terminated,16,Professional Society,Fully Meets,5,11355,8290,2532,9457,9968,14642,5130,17291,15474,13695,18552,4204,3,0.6666666666666666,1.0,0.9424657534246575,48,40-49
" Rhodes, Justice     ",9098262621,1,0,5,21.599999999999998,19,MA,1986-04-17,2011-10-01,2016-01-04,unhappy,Voluntarily Terminated,16,Website Banner Ads,Fully Meets,4,19343,12809,18181,5730,6230,6383,17563,16567,10285,3453,18097,7513,3,0.6666666666666666,0.75,4.263013698630137,38,30-39
